id_parlamentar_parlametria,id_parlamentar,casa
222,22,senado
235,35,senado
270,70,senado
290,90,senado
2285,285,senado
2345,345,senado
2374,374,senado
2470,470,senado
2475,475,senado
2581,581,senado
2677,677,senado
2739,739,senado
2742,742,senado
2751,751,senado
2825,825,senado
2945,945,senado
21023,1023,senado
21173,1173,senado
21186,1186,senado
21249,1249,senado
22331,2331,senado
23361,3361,senado
23396,3396,senado
23777,3777,senado
23806,3806,senado
23830,3830,senado
24525,4525,senado
24531,4531,senado
24545,4545,senado
24560,4560,senado
24770,4770,senado
24981,4981,senado
24994,4994,senado
25008,5008,senado
25012,5012,senado
25236,5236,senado
25322,5322,senado
25350,5350,senado
25352,5352,senado
25376,5376,senado
25385,5385,senado
25411,5411,senado
25422,5422,senado
25502,5502,senado
25523,5523,senado
25525,5525,senado
25527,5527,senado
25529,5529,senado
25531,5531,senado
25533,5533,senado
25535,5535,senado
25537,5537,senado
25540,5540,senado
25666,5666,senado
25718,5718,senado
25732,5732,senado
25748,5748,senado
25783,5783,senado
25894,5894,senado
25895,5895,senado
25899,5899,senado
25905,5905,senado
25924,5924,senado
25926,5926,senado
25942,5942,senado
25953,5953,senado
25959,5959,senado
25967,5967,senado
25973,5973,senado
25976,5976,senado
25979,5979,senado
25982,5982,senado
25985,5985,senado
25988,5988,senado
25990,5990,senado
25998,5998,senado
26027,6027,senado
26295,6295,senado
162881,62881,camara
166179,66179,camara
166828,66828,camara
167138,67138,camara
168720,68720,camara
169871,69871,camara
172442,72442,camara
173433,73433,camara
173441,73441,camara
173460,73460,camara
173466,73466,camara
173482,73482,camara
173486,73486,camara
173531,73531,camara
173586,73586,camara
173604,73604,camara
173692,73692,camara
173696,73696,camara
173701,73701,camara
173772,73772,camara
173788,73788,camara
173801,73801,camara
173808,73808,camara
173943,73943,camara
174043,74043,camara
174044,74044,camara
174052,74052,camara
174057,74057,camara
174060,74060,camara
174075,74075,camara
174079,74079,camara
174090,74090,camara
174156,74156,camara
174158,74158,camara
174159,74159,camara
174160,74160,camara
174161,74161,camara
174200,74200,camara
174262,74262,camara
174270,74270,camara
174273,74273,camara
174283,74283,camara
174299,74299,camara
174317,74317,camara
174352,74352,camara
174356,74356,camara
174366,74366,camara
174371,74371,camara
174376,74376,camara
174383,74383,camara
174398,74398,camara
174400,74400,camara
174419,74419,camara
174439,74439,camara
174459,74459,camara
174467,74467,camara
174471,74471,camara
174478,74478,camara
174537,74537,camara
174554,74554,camara
174574,74574,camara
174585,74585,camara
174646,74646,camara
174655,74655,camara
174693,74693,camara
174749,74749,camara
174784,74784,camara
174806,74806,camara
174848,74848,camara
175431,75431,camara
176874,76874,camara
181055,81055,camara
181297,81297,camara
190201,90201,camara
190842,90842,camara
192102,92102,camara
192346,92346,camara
192699,92699,camara
192776,92776,camara
193083,93083,camara
198057,98057,camara
1107283,107283,camara
1108338,108338,camara
1109429,109429,camara
1112437,112437,camara
1115746,115746,camara
1116379,116379,camara
1121948,121948,camara
1122158,122158,camara
1122974,122974,camara
1128760,128760,camara
1132504,132504,camara
1133439,133439,camara
1133810,133810,camara
1133968,133968,camara
1134812,134812,camara
1135054,135054,camara
1136811,136811,camara
1137070,137070,camara
1139285,139285,camara
1141335,141335,camara
1141391,141391,camara
1141398,141398,camara
1141401,141401,camara
1141405,141405,camara
1141408,141408,camara
1141411,141411,camara
1141417,141417,camara
1141421,141421,camara
1141422,141422,camara
1141427,141427,camara
1141431,141431,camara
1141434,141434,camara
1141439,141439,camara
1141450,141450,camara
1141458,141458,camara
1141459,141459,camara
1141464,141464,camara
1141470,141470,camara
1141488,141488,camara
1141508,141508,camara
1141513,141513,camara
1141516,141516,camara
1141518,141518,camara
1141523,141523,camara
1141531,141531,camara
1141553,141553,camara
1141555,141555,camara
1143084,143084,camara
1143632,143632,camara
1146307,146307,camara
1146788,146788,camara
1150418,150418,camara
1151208,151208,camara
1152605,152605,camara
1152610,152610,camara
1154178,154178,camara
1156190,156190,camara
1157130,157130,camara
1160508,160508,camara
1160510,160510,camara
1160511,160511,camara
1160512,160512,camara
1160518,160518,camara
1160527,160527,camara
1160528,160528,camara
1160531,160531,camara
1160532,160532,camara
1160534,160534,camara
1160535,160535,camara
1160538,160538,camara
1160541,160541,camara
1160545,160545,camara
1160552,160552,camara
1160553,160553,camara
1160556,160556,camara
1160558,160558,camara
1160559,160559,camara
1160569,160569,camara
1160570,160570,camara
1160575,160575,camara
1160587,160587,camara
1160588,160588,camara
1160589,160589,camara
1160591,160591,camara
1160592,160592,camara
1160598,160598,camara
1160599,160599,camara
1160600,160600,camara
1160601,160601,camara
1160604,160604,camara
1160610,160610,camara
1160619,160619,camara
1160632,160632,camara
1160635,160635,camara
1160639,160639,camara
1160640,160640,camara
1160641,160641,camara
1160642,160642,camara
1160645,160645,camara
1160651,160651,camara
1160653,160653,camara
1160655,160655,camara
1160665,160665,camara
1160666,160666,camara
1160667,160667,camara
1160669,160669,camara
1160673,160673,camara
1160674,160674,camara
1160758,160758,camara
1160976,160976,camara
1161550,161550,camara
1162332,162332,camara
1164359,164359,camara
1164360,164360,camara
1166402,166402,camara
1171617,171617,camara
1171619,171619,camara
1171623,171623,camara
1177282,177282,camara
1178829,178829,camara
1178830,178830,camara
1178831,178831,camara
1178832,178832,camara
1178833,178833,camara
1178835,178835,camara
1178836,178836,camara
1178839,178839,camara
1178842,178842,camara
1178843,178843,camara
1178854,178854,camara
1178857,178857,camara
1178858,178858,camara
1178860,178860,camara
1178861,178861,camara
1178863,178863,camara
1178866,178866,camara
1178871,178871,camara
1178873,178873,camara
1178874,178874,camara
1178876,178876,camara
1178879,178879,camara
1178881,178881,camara
1178882,178882,camara
1178884,178884,camara
1178886,178886,camara
1178889,178889,camara
1178895,178895,camara
1178896,178896,camara
1178908,178908,camara
1178909,178909,camara
1178910,178910,camara
1178912,178912,camara
1178916,178916,camara
1178920,178920,camara
1178921,178921,camara
1178922,178922,camara
1178924,178924,camara
1178925,178925,camara
1178927,178927,camara
1178928,178928,camara
1178929,178929,camara
1178930,178930,camara
1178931,178931,camara
1178933,178933,camara
1178934,178934,camara
1178939,178939,camara
1178945,178945,camara
1178946,178946,camara
1178947,178947,camara
1178948,178948,camara
1178951,178951,camara
1178952,178952,camara
1178953,178953,camara
1178954,178954,camara
1178956,178956,camara
1178959,178959,camara
1178961,178961,camara
1178962,178962,camara
1178964,178964,camara
1178966,178966,camara
1178969,178969,camara
1178970,178970,camara
1178972,178972,camara
1178975,178975,camara
1178977,178977,camara
1178981,178981,camara
1178983,178983,camara
1178985,178985,camara
1178986,178986,camara
1178987,178987,camara
1178990,178990,camara
1178992,178992,camara
1178993,178993,camara
1178994,178994,camara
1178996,178996,camara
1178997,178997,camara
1179001,179001,camara
1179587,179587,camara
1188097,188097,camara
1191923,191923,camara
1193726,193726,camara
1194260,194260,camara
1196358,196358,camara
1198197,198197,camara
1198783,198783,camara
1204351,204351,camara
1204352,204352,camara
1204353,204353,camara
1204354,204354,camara
1204355,204355,camara
1204356,204356,camara
1204357,204357,camara
1204358,204358,camara
1204359,204359,camara
1204360,204360,camara
1204361,204361,camara
1204362,204362,camara
1204363,204363,camara
1204364,204364,camara
1204365,204365,camara
1204366,204366,camara
1204367,204367,camara
1204368,204368,camara
1204369,204369,camara
1204370,204370,camara
1204371,204371,camara
1204372,204372,camara
1204373,204373,camara
1204374,204374,camara
1204375,204375,camara
1204376,204376,camara
1204377,204377,camara
1204378,204378,camara
1204379,204379,camara
1204381,204381,camara
1204382,204382,camara
1204383,204383,camara
1204384,204384,camara
1204385,204385,camara
1204386,204386,camara
1204387,204387,camara
1204388,204388,camara
1204389,204389,camara
1204390,204390,camara
1204391,204391,camara
1204392,204392,camara
1204393,204393,camara
1204394,204394,camara
1204395,204395,camara
1204396,204396,camara
1204397,204397,camara
1204398,204398,camara
1204399,204399,camara
1204400,204400,camara
1204403,204403,camara
1204404,204404,camara
1204405,204405,camara
1204406,204406,camara
1204407,204407,camara
1204408,204408,camara
1204409,204409,camara
1204410,204410,camara
1204411,204411,camara
1204412,204412,camara
1204413,204413,camara
1204414,204414,camara
1204415,204415,camara
1204416,204416,camara
1204418,204418,camara
1204419,204419,camara
1204420,204420,camara
1204421,204421,camara
1204422,204422,camara
1204423,204423,camara
1204425,204425,camara
1204426,204426,camara
1204427,204427,camara
1204428,204428,camara
1204429,204429,camara
1204430,204430,camara
1204431,204431,camara
1204432,204432,camara
1204433,204433,camara
1204434,204434,camara
1204435,204435,camara
1204436,204436,camara
1204437,204437,camara
1204438,204438,camara
1204439,204439,camara
1204440,204440,camara
1204441,204441,camara
1204442,204442,camara
1204444,204444,camara
1204446,204446,camara
1204447,204447,camara
1204448,204448,camara
1204449,204449,camara
1204450,204450,camara
1204451,204451,camara
1204452,204452,camara
1204453,204453,camara
1204454,204454,camara
1204455,204455,camara
1204456,204456,camara
1204457,204457,camara
1204458,204458,camara
1204459,204459,camara
1204460,204460,camara
1204461,204461,camara
1204462,204462,camara
1204463,204463,camara
1204464,204464,camara
1204465,204465,camara
1204466,204466,camara
1204467,204467,camara
1204468,204468,camara
1204469,204469,camara
1204471,204471,camara
1204472,204472,camara
1204473,204473,camara
1204474,204474,camara
1204475,204475,camara
1204476,204476,camara
1204477,204477,camara
1204478,204478,camara
1204479,204479,camara
1204480,204480,camara
1204481,204481,camara
1204482,204482,camara
1204483,204483,camara
1204484,204484,camara
1204485,204485,camara
1204486,204486,camara
1204487,204487,camara
1204488,204488,camara
1204489,204489,camara
1204490,204490,camara
1204491,204491,camara
1204492,204492,camara
1204494,204494,camara
1204495,204495,camara
1204496,204496,camara
1204497,204497,camara
1204498,204498,camara
1204499,204499,camara
1204500,204500,camara
1204501,204501,camara
1204502,204502,camara
1204503,204503,camara
1204504,204504,camara
1204505,204505,camara
1204506,204506,camara
1204507,204507,camara
1204508,204508,camara
1204509,204509,camara
1204510,204510,camara
1204511,204511,camara
1204512,204512,camara
1204513,204513,camara
1204514,204514,camara
1204515,204515,camara
1204516,204516,camara
1204517,204517,camara
1204518,204518,camara
1204519,204519,camara
1204520,204520,camara
1204521,204521,camara
1204522,204522,camara
1204523,204523,camara
1204524,204524,camara
1204525,204525,camara
1204526,204526,camara
1204527,204527,camara
1204528,204528,camara
1204529,204529,camara
1204530,204530,camara
1204531,204531,camara
1204532,204532,camara
1204533,204533,camara
1204534,204534,camara
1204535,204535,camara
1204536,204536,camara
1204537,204537,camara
1204538,204538,camara
1204539,204539,camara
1204540,204540,camara
1204541,204541,camara
1204542,204542,camara
1204544,204544,camara
1204545,204545,camara
1204546,204546,camara
1204547,204547,camara
1204548,204548,camara
1204549,204549,camara
1204550,204550,camara
1204551,204551,camara
1204552,204552,camara
1204553,204553,camara
1204554,204554,camara
1204555,204555,camara
1204556,204556,camara
1204557,204557,camara
1204558,204558,camara
1204559,204559,camara
1204560,204560,camara
1204561,204561,camara
1204562,204562,camara
1204563,204563,camara
1204564,204564,camara
1204565,204565,camara
1204566,204566,camara
1204567,204567,camara
1204569,204569,camara
1204570,204570,camara
1204571,204571,camara
1204572,204572,camara
1204573,204573,camara
1204575,204575,camara
1204576,204576,camara
1205476,205476,camara
1205548,205548,camara
1205550,205550,camara
1205863,205863,camara
1206231,206231,camara
1207176,207176,camara
1207309,207309,camara
1209189,209189,camara
1212749,212749,camara
1213274,213274,camara
1213679,213679,camara
1213762,213762,camara
1213856,213856,camara
